unit,sex,age,icd10,geo\time	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,T,TOTAL,I20-I25,AT11	241.02 	222.75 	207.08 	199.48 	204.98 	205.54 	201.56 	191.15 
RT,T,TOTAL,I20-I25,AT12	206.31 	200.37 	194.97 	191.6 	188.18 	182.02 	176.01 	169.35 
RT,T,TOTAL,I20-I25,AT13	236.79 	234.86 	229.45 	217.02 	204.58 	191.83 	179.61 	170.71 
RT,T,TOTAL,I20-I25,AT21	154.55 	151.95 	149.92 	146.88 	147.1 	144.33 	143.32 	140.9 
RT,T,TOTAL,I20-I25,AT22	169.61 	163.79 	158.38 	155.36 	152.27 	146.2 	140.52 	140.43 
RT,T,TOTAL,I20-I25,AT31	181.66 	176.37 	171.94 	160.34 	152.58 	141.96 	137.15 	135.86 
RT,T,TOTAL,I20-I25,AT32	146.57 	139.71 	134.75 	123.3 	125.09 	124.95 	125.75 	119.8 
RT,T,TOTAL,I20-I25,AT33	180.84 	179.48 	175.9 	165.38 	159.61 	154.41 	152.44 	147.69 
RT,T,TOTAL,I20-I25,AT34	172.91 	167.62 	163.92 	154.59 	150.78 	139.68 	137.39 	133.42 
RT,T,TOTAL,I20-I25,BE10	82.09 	79.53 	73.5 	70.34 	67.37 	64.45 	61.13 	57.3 
RT,T,TOTAL,I20-I25,BE21	70.66 	66.03 	63.53 	61.24 	59.71 	55.7 	51.85 	47.78 
RT,T,TOTAL,I20-I25,BE22	76.89 	71.8 	66.77 	60.27 	58.36 	55.47 	53.51 	48.03 
RT,T,TOTAL,I20-I25,BE23	78.01 	72.94 	68.94 	63.79 	61.48 	58.46 	57.41 	52.65 
RT,T,TOTAL,I20-I25,BE24	73.91 	68.4 	66.29 	62.98 	59.83 	56.85 	53.63 	49.95 
RT,T,TOTAL,I20-I25,BE25	74.63 	70.38 	67.27 	63.12 	62.18 	58.96 	55.5 	49.7 
RT,T,TOTAL,I20-I25,BE31	75.09 	75.32 	72.65 	70.61 	64.31 	59.62 	55.94 	53.73 
RT,T,TOTAL,I20-I25,BE32	106 	102.26 	97.58 	90.39 	85.72 	83.95 	79.85 	77.62 
RT,T,TOTAL,I20-I25,BE33	91.06 	86.29 	84.26 	81.72 	79.28 	72.26 	67.02 	63.13 
RT,T,TOTAL,I20-I25,BE34	88.04 	79.62 	75.3 	73.88 	73.47 	68.3 	62.39 	58.88 
