freq,unit,source,icd10,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC,PRG,C50,BE	: 	50.00 	54.00 	53.70 	55.90 	56.60 	60.10 	62.00 	62.20 	62.50 	61.80 	62.70 	62.70 	62.30 	61.90 	61.60 	61.80 	61.00 	60.20 	59.70 	: 	: 
A,PC,PRG,C50,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.70 	21.20 b	20.55 	: 	: 	: 	: 
A,PC,PRG,C50,CY	: 	: 	: 	: 	: 	: 	: 	31.76 d	31.76 d	: 	: 	31.28 d	31.28 d	31.72 d	33.64 d	35.48 d	35.15 d	34.79 d	33.21 d	31.35 d	: 	: 
A,PC,PRG,C50,CZ	: 	: 	: 	: 	25.80 	31.50 	35.70 	42.70 	49.50 	48.40 	49.50 	52.20 b	54.40 	57.70 	60.60 	61.00 	60.40 	60.80 	60.30 	60.40 	58.60 	: 
A,PC,PRG,C50,DE	: 	: 	: 	: 	: 	: 	57.30 	53.60 	53.00 	54.40 	53.70 	55.90 	56.30 	56.60 	54.30 	51.60 	51.00 	49.40 	50.10 	49.90 	: 	: 
A,PC,PRG,C50,DK	: 	: 	: 	: 	: 	: 	: 	: 	73.70 	: 	77.40 	: 	83.00 	: 	84.30 	: 	82.10 	: 	83.20 	: 	83.70 	: 
A,PC,PRG,C50,EE	: 	: 	: 	37.00 d	41.00 d	42.00 d	43.00 d	44.00 d	51.00 d	52.00 d	62.00 d	51.00 d	52.00 d	53.40 d	58.00 d	50.80 d	56.30 d	55.90 d	52.80 	55.90 	53.40 	: 
A,PC,PRG,C50,FI	: 	87.40 	87.60 	87.90 	87.40 	87.00 	86.30 	84.40 b	84.90 	85.50 	84.80 	84.80 	83.00 	83.30 	82.90 	82.70 	82.60 	81.90 	81.40 	81.60 	80.50 e	: 
A,PC,PRG,C50,FR	: 	: 	: 	: 	37.70 	44.30 	48.50 	50.10 	52.00 	52.70 	52.30 	52.90 	52.80 	51.60 	52.00 	51.40 	50.60 	49.90 	50.30 	48.80 	42.60 	: 
A,PC,PRG,C50,HR	: 	: 	: 	: 	: 	: 	63.00 	63.00 	63.00 	57.00 	57.00 	57.00 	60.00 	60.00 	60.00 	60.00 	60.00 	60.00 	64.00 	60.00 	56.00 	56.00 
A,PC,PRG,C50,HU	: 	: 	: 	: 	: 	: 	49.23 	46.31 	45.56 	47.03 	47.13 	46.06 	44.27 	43.19 	42.08 	42.27 	41.98 	41.09 	40.02 	39.07 	33.65 	: 
A,PC,PRG,C50,IE	: 	: 	78.40 d	79.50 d	77.10 d	76.80 d	78.10 d	75.30 d	77.40 d	75.70 d	73.90 d	74.50 d	71.40 d	70.20 d	76.50 d	74.70 d	75.10 d	73.80 d	74.30 d	71.60 d	76.10 dp	: 
A,PC,PRG,C50,IS	61.00 d	62.00 d	62.00 d	62.00 d	61.00 d	61.00 d	62.00 d	62.00 d	62.00 d	61.00 d	59.00 d	58.00 d	59.00 d	59.00 d	59.00 d	58.00 d	55.00 d	57.00 d	57.00 d	61.00 d	62.00 d	: 
